,HSCD,COUNTRYCD,TARIFF_AVG,SNDIST,SP_POP_TOTL,PA_NUS_FCRF,IC_BUS_EASE_DFRN_DB,KMDIST,item_total_percent,item_world_percent,gdp_percent,next_year_percent
0,1,1,30.0,38.78238437,0.02767001996335205,110.9730167,46.10981,99.54009765999999,0.007418249993801548,0.01753671993260829,106.35519859995625,0.22412966444068863
1,1,2,0.0,122.0315598,0.015534137725419176,1.304758077,80.22369,83.29652344,0.19206057773964508,2.2521807633961415,109.95491582909376,1.2067974705925357
4,1,3,18.0,96.44206941,0.1479959742762965,3.191389446,55.38240333,183.6450586,0.020782657264724808,0.16082167292091018,114.87609288856713,0.3921205881406647
5,1,4,5.0,58.91659995,0.03634026200663647,1360.358707,42.67139,37.96142578,0.06628333802903487,0.0655091268565233,102.62208937140105,4.945076816605526
6,1,5,0.0,79.11783801,0.024166844378783046,1.297935846,79.54094,106.1770313,0.2576268354898764,5.718351747205383,107.9594828037481,0.6528929698534689
7,1,6,30.0,61.7630332,0.013251261364445285,152.4464139,59.82373,58.40512695,0.0039489125767929924,0.004320915732372307,106.10075664906628,5.32659663061905
8,1,7,0.0,95.50300571,0.011101618215346248,648.8337926,71.58185,183.7518164,0.06546922837855242,0.21930824464622997,110.62330298674333,0.14913369857728348
9,1,8,8.6,63.633483770000005,1.0,6.758755086,64.63936,9.556510620000001,0.016637748604776032,1.5746900128825445,109.58845575209422,2.611636664263145
10,1,9,0.0,34.62111609,0.005407909025608033,23.37633333,76.38834,82.620625,0.15003286085243003,1.2545670264111002,111.39082497758213,0.0464586975811944
13,1,10,15.0,65.16179027,0.009378887534250709,7.34793875,61.95631,130.2969238,0.32806329798780554,0.3094873699135016,108.41531282584971,0.21153670340437122
14,1,11,0.0,74.04406891,0.003092589514739028,7.79325,84.76059,20.95842529,0.04879432767084608,1.4760714073019532,106.36021917603276,3.840478001453282
15,1,12,0.0,81.39543778000001,0.18906647688814393,13380.83388,64.52893333,52.91683594,0.027683174765015132,0.22299600968298142,108.98648641397952,2.18813796529989
16,1,13,30.0,40.21444727,0.056069706450529486,33226.29815,55.70786,65.62448242,0.00034654158052530856,0.0009181157341853362,106.54594434236716,4.160283576915766
18,1,14,17.8,76.36854213,0.0894048268150385,112.1661411,78.02069667,11.566695560000001,0.05360379165835163,1.8476247519073439,98.8688766368582,2.6953949674608944
19,1,15,10.9,42.93407008,0.01078883799869065,326.0010227,74.84879,42.27771973,0.20182572142181934,0.30402767713425216,121.50963737816693,0.08086771722435439
21,1,16,0.0,67.98215338,0.02023540013054222,4.300440878,78.27291,46.14067383,0.021811020439605585,0.218009593763454,105.9275364724237,7.264588088947274
22,1,17,10.0,84.10729379,0.08795286392455118,18.92651667,73.39408333,120.66007809999999,0.03392535010907084,0.7320556214075461,107.45672189820954,0.0615118028046165
23,1,18,5.0,53.63696559,0.0,2439.777201,66.1351,20.031032709999998,0.18634894081287603,0.04148928546723732,102.13664320255604,7.878444376643825
25,1,19,0.0,135.46890009999998,0.0012145910567522987,1.407408333,87.16633,102.9383691,0.27693968191354285,0.5704611436706276,109.13379802788168,1.6915507550665874
26,1,20,2.6,44.70207732,0.0015638099955092213,8.271666667,82.35614,77.30766602,0.3170424371003479,1.391885992951553,108.01854563201563,0.005855363220070502
27,1,21,0.0,98.53501457,0.020480664068814103,3.260488491,67.5175,163.29764649999998,0.04380272742214173,0.08940854313133864,109.95904031350314,1.3431650371525095
28,1,22,0.0,78.09327223999999,0.07378072039915302,50.40371979,59.25872,26.15750732,0.028794358566675497,0.1505995826543845,103.09264437728127,12.931679985100697
29,1,23,0.0,34.80012872,0.025201706255217067,3.779333333,77.68044,77.53967285,0.09155411851600383,1.0244283804075371,111.39982650276114,0.026491121215209083
30,1,24,10.9,33.09089692,0.10220840047101312,58.34280119,75.21312667,66.14064453,0.09181338486414008,1.075561972252358,123.2935721614361,2.677867063287524
31,1,25,5.0,50.75358346,0.021676986244577957,3.75,59.44422,75.57271973,0.1623881674707662,1.1213135521899362,106.76811342520809,2.897759034454302
32,1,26,5.0,54.64752969999999,0.9654906288936023,65.12156865,55.90158667,46.92671875,0.002165310594254727,0.04935635636283586,115.59830922084713,0.7850876303482905
33,1,27,0.0,81.10872924,0.001806193825282907,1.380925,85.44138,46.76682617,0.05446439901132099,0.9162024942955125,107.28412186334937,1.354198493520603
34,1,28,0.0,64.50914231,0.06613468151751914,22370.08667,65.28861,27.401352539999998,0.013353183406420747,0.14614758012967474,109.0142052651065,30.445551770416134
35,1,29,15.2,81.09603897,0.03895568824468268,13.32380142,65.40686,137.2341309,0.05049878737674665,0.21523292222914892,117.95030993025304,0.5470874250432202
37,1,30,11.5,45.113710389999994,0.0038589846511044336,0.984691667,76.42092,88.78165039,0.1325676487190702,1.820337950664979,101.28718667558456,0.04762819410195008
38,1,31,5.0,51.1629174,0.00460746802836847,3.6725,77.43435,69.09236328,0.10660394161392114,1.4827211835653828,107.99927180047332,1.2179233897219068
39,1,32,1.7,33.6398182,0.05637907304461267,3.648132635,69.37882,79.67700684,0.015732112917023096,0.18880809993274048,98.7703565552046,0.11710721206861677
40,1,33,23.0,41.020919830000004,0.06746915419883373,17.78253352,55.47428,84.97368164,0.0020261853276190467,0.006899784139609539,70.90981283953292,0.13019419021445588
41,1,34,0.0,47.91770544,0.04550418168367515,0.776976682,83.34108,88.75389648000001,0.2694857331304223,8.871718398646165,98.95890553320368,0.05994260566979157
42,1,35,0.0,76.1129521,0.23268714641214666,1.0,83.35255333,110.65702149999998,0.13306735548460055,16.429571099614783,104.29815655890997,1.744589007030641
43,2,1,30.0,46.84046997,0.02767001996335205,110.9730167,46.10981,99.54009765999999,0.001633294568079171,0.02715865544871671,106.35519859995625,25.99520594112321
44,2,2,0.0,107.4554894,0.015534137725419176,1.304758077,80.22369,83.29652344,0.05415222857443027,4.466611650381243,109.95491582909376,15.712192463651487
47,2,3,16.0,120.48566720000001,0.1479959742762965,3.191389446,55.38240333,183.6450586,0.0019966653178462215,0.10867899673593351,114.87609288856713,1.9137840358304596
48,2,4,15.0,36.24322955,0.03634026200663647,1360.358707,42.67139,37.96142578,0.030090832691417158,0.20918401378644857,102.62208937140105,18.319446844155742
49,2,5,0.0,85.84756395000001,0.024166844378783046,1.297935846,79.54094,106.1770313,0.03432147639365872,5.358491856253948,107.9594828037481,4.673999570642455
50,2,6,30.0,60.92153792,0.013251261364445285,152.4464139,59.82373,58.40512695,0.002298053319580455,0.017687042722618652,106.10075664906628,2.2741330633225614
51,2,7,0.0,96.67370093,0.011101618215346248,648.8337926,71.58185,183.7518164,0.005660950746965926,0.13338406817712797,110.62330298674333,0.13247865561504854
52,2,8,8.8,58.852396060000004,1.0,6.758755086,64.63936,9.556510620000001,0.01093457514142066,7.279461860489711,109.58845575209422,49.61595893842944
53,2,9,0.0,33.68254037,0.005407909025608033,23.37633333,76.38834,82.620625,0.01224098981577542,0.7199807108160976,111.39082497758213,5.235749443969419
56,2,10,15.0,77.74658839,0.009378887534250709,7.34793875,61.95631,130.2969238,0.005709532532306185,0.03788634258476391,108.41531282584971,50.36486472319933
57,2,11,0.0,54.66844288,0.003092589514739028,7.79325,84.76059,20.95842529,0.029338026223577465,6.242603739449276,106.36021917603276,11.335488056564794
58,2,12,15.0,57.80809312,0.18906647688814393,13380.83388,64.52893333,52.91683594,0.01715240592639796,0.9718586172508469,108.98648641397952,66.12943931273458
60,2,14,22.1,55.004219899999995,0.0894048268150385,112.1661411,78.02069667,11.566695560000001,0.0044182921453399535,1.0711974651829148,98.8688766368582,95.03749585028261
61,2,15,13.0,36.925140580000004,0.01078883799869065,326.0010227,74.84879,42.27771973,0.1085187491364013,1.1498421730841486,121.50963737816693,2.704559707882468
63,2,16,0.0,57.23906424,0.02023540013054222,4.300440878,78.27291,46.14067383,0.057979901396877566,4.076373219298742,105.9275364724237,18.008533756491143
64,2,17,10.0,104.1324411,0.08795286392455118,18.92651667,73.39408333,120.66007809999999,0.0006075245795955458,0.09221051372532399,107.45672189820954,0.5615454344331783
65,2,18,5.0,45.32951087000001,0.0,2439.777201,66.1351,20.031032709999998,0.3317464847553693,0.5195318807093712,102.13664320255604,24.193728522008385
67,2,19,0.0,115.24019979999998,0.0012145910567522987,1.407408333,87.16633,102.9383691,0.09920498266281648,1.4373787206277207,109.13379802788168,15.225397940233668
68,2,20,0.0,41.801181459999995,0.0015638099955092213,8.271666667,82.35614,77.30766602,0.02012401704164865,0.6214379760456074,108.01854563201563,4.138124011945922
69,2,21,0.0,121.7777383,0.020480664068814103,3.260488491,67.5175,163.29764649999998,0.0013164257083497384,0.01890040309246863,109.95904031350314,7.5059889734116325
70,2,22,0.0,71.16886667,0.07378072039915302,50.40371979,59.25872,26.15750732,0.025307305008391488,0.9310202037290518,103.09264437728127,12.960160339045101
71,2,23,0.0,31.968191270000002,0.025201706255217067,3.779333333,77.68044,77.53967285,0.011716926859926874,0.922176989273356,111.39982650276114,5.757246155508676
72,2,24,13.0,33.65842814,0.10220840047101312,58.34280119,75.21312667,66.14064453,0.006482314329157409,0.5341415627915401,123.2935721614361,26.505189717310675
73,2,25,5.0,66.08332879,0.021676986244577957,3.75,59.44422,75.57271973,0.010323685129981637,0.5014230413540911,106.76811342520809,17.784665116763364
74,2,26,5.0,59.16463596,0.9654906288936023,65.12156865,55.90158667,46.92671875,0.001963948816805239,0.3148834986128442,115.59830922084713,2.8223173749110475
75,2,27,0.0,66.35336461,0.001806193825282907,1.380925,85.44138,46.76682617,0.012887159683866832,1.524869964786585,107.28412186334937,18.26541879075104
76,2,28,0.0,55.75774048,0.06613468151751914,22370.08667,65.28861,27.401352539999998,0.009893568932767395,0.7616521022796406,109.0142052651065,76.48527419824995
77,2,29,20.0,80.35435711,0.03895568824468268,13.32380142,65.40686,137.2341309,0.016412442881238224,0.492037073347448,117.95030993025304,1.0945548831667102
79,2,30,6.8,43.57480028,0.0038589846511044336,0.984691667,76.42092,88.78165039,0.01092747802811952,1.0554344318049829,101.28718667558456,3.9040114551915965
80,2,31,5.0,53.9098929,0.00460746802836847,3.6725,77.43435,69.09236328,0.005319509512649702,0.5204208237924156,107.99927180047332,4.845194535641886
81,2,32,2.6,31.793162619999997,0.05637907304461267,3.648132635,69.37882,79.67700684,0.0009794157399486741,0.0826794335232806,98.7703565552046,0.6068019463079628
83,2,34,0.0,49.80251458,0.04550418168367515,0.776976682,83.34108,88.75389648000001,0.033655758483905375,7.793422104477406,98.95890553320368,6.700893704124895
84,2,35,0.0,82.23865926,0.23268714641214666,1.0,83.35255333,110.65702149999998,0.009898021145147342,8.596069611526815,104.29815655890997,30.33095818247251
85,3,1,30.0,36.10490997,0.02767001996335205,110.9730167,46.10981,99.54009765999999,0.005448080454689645,0.07247039702371458,106.35519859995625,0.11554385724375091
86,3,2,0.0,105.3374885,0.015534137725419176,1.304758077,80.22369,83.29652344,0.03130615210863151,2.0656889752693823,109.95491582909376,6.397694794480707
89,3,3,16.0,96.06510127,0.1479959742762965,3.191389446,55.38240333,183.6450586,0.018233891435432407,0.7939498874386908,114.87609288856713,0.9956631416224061
90,3,4,15.0,41.3603394,0.03634026200663647,1360.358707,42.67139,37.96142578,0.008535772489657964,0.04746904531865363,102.62208937140105,29.04504603177501
91,3,5,0.0,82.44859405,0.024166844378783046,1.297935846,79.54094,106.1770313,0.0336542761993964,4.203298653689628,107.9594828037481,2.9679712054415015
93,3,7,0.0,102.9654322,0.011101618215346248,648.8337926,71.58185,183.7518164,0.05066467709371562,0.9549777264221803,110.62330298674333,0.14083080800504064
94,3,8,10.0,64.01277669,1.0,6.758755086,64.63936,9.556510620000001,0.0015595779888165138,0.8305730575810527,109.58845575209422,6.522892110867883
95,3,9,0.0,32.92887012,0.005407909025608033,23.37633333,76.38834,82.620625,0.017307988999318596,0.8143747798614105,111.39082497758213,0.41570813300347753
98,3,10,15.0,53.47544057,0.009378887534250709,7.34793875,61.95631,130.2969238,0.05779062184797017,0.3067699943260882,108.41531282584971,0.1889515683083741
99,3,11,0.0,65.21457074,0.003092589514739028,7.79325,84.76059,20.95842529,0.014287585628787222,2.432019778142097,106.36021917603276,3.78127713395183
100,3,12,0.0,65.96109717,0.18906647688814393,13380.83388,64.52893333,52.91683594,0.003764969890074876,0.1706526086914062,108.98648641397952,5.419419418402861
101,3,13,55.0,49.35700634,0.056069706450529486,33226.29815,55.70786,65.62448242,0.0015810501871537208,0.023569912004007754,106.54594434236716,0.45807925334797356
103,3,14,16.3,73.97723246,0.0894048268150385,112.1661411,78.02069667,11.566695560000001,0.03714096793025493,7.203469234694563,98.8688766368582,4.009189663356526
104,3,15,15.0,49.282998049999996,0.01078883799869065,326.0010227,74.84879,42.27771973,0.014717097997304416,0.12474668582123506,121.50963737816693,1.0066531353369148
106,3,16,0.0,56.74078706,0.02023540013054222,4.300440878,78.27291,46.14067383,0.012055525369761708,0.6780410520950668,105.9275364724237,5.280713100021347
107,3,17,10.0,88.50299831000001,0.08795286392455118,18.92651667,73.39408333,120.66007809999999,0.004573049392319605,0.5552593247350882,107.45672189820954,0.3841771831223592
108,3,18,5.0,48.006799410000006,0.0,2439.777201,66.1351,20.031032709999998,0.06010778528505521,0.07530260148004995,102.13664320255604,1.5751471582143552
110,3,19,0.0,124.3300957,0.0012145910567522987,1.407408333,87.16633,102.9383691,0.031190490304759434,0.36152081540152403,109.13379802788168,1.458656446774288
111,3,20,6.4,43.428412200000004,0.0015638099955092213,8.271666667,82.35614,77.30766602,0.025112395281787964,0.6203612069604479,108.01854563201563,0.01441503186113147
112,3,21,0.0,90.27108781999999,0.020480664068814103,3.260488491,67.5175,163.29764649999998,0.003380109896882055,0.03882209005441398,109.95904031350314,2.1410454718268417
113,3,22,5.0,59.13198155,0.07378072039915302,50.40371979,59.25872,26.15750732,0.011708230525375654,0.34457030829137925,103.09264437728127,5.218527773276759
114,3,23,0.0,34.67230294,0.025201706255217067,3.779333333,77.68044,77.53967285,0.02240140701627221,1.410422539550396,111.39982650276114,0.27843946193887603
115,3,24,15.0,27.61420635,0.10220840047101312,58.34280119,75.21312667,66.14064453,0.019338527165411262,1.274744250455837,123.2935721614361,0.5449591465875459
116,3,25,5.0,50.86497882,0.021676986244577957,3.75,59.44422,75.57271973,0.036539308201815356,1.4197217562321502,106.76811342520809,0.3774125619970837
117,3,26,5.0,49.053233520000006,0.9654906288936023,65.12156865,55.90158667,46.92671875,0.0008034750434633782,0.1030541555971489,115.59830922084713,0.2748996803954878
118,3,27,0.0,77.04230099,0.001806193825282907,1.380925,85.44138,46.76682617,0.010134950718623173,0.9593357350313898,107.28412186334937,5.556692484778739
